"union_id","union_name_en","union_name_bn","union_website","upazila_id","upazila_name_en","upazila_name_bn","upazila_website","district_id","district_name_en","district_name_bn","district_latitude","district_longitude","district_website","division_id","division_name_en","division_name_bn","division_website"
"1","Subil","সুবিল","subilup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"2","North Gunaighor","উত্তর গুনাইঘর","gunaighornorthup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"3","South Gunaighor","দক্ষিণ গুনাইঘর","gunaighorsouth.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"4","Boroshalghor","বড়শালঘর","boroshalghorup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"5","Rajameher","রাজামেহার","rajameherup.comila.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"6","Yousufpur","ইউসুফপুর","yousufpurup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"7","Rasulpur","রসুলপুর","rasulpurup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"8","Fatehabad","ফতেহাবাদ","fatehabadup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"9","Elahabad","এলাহাবাদ","elahabadup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
"10","Jafargonj","জাফরগঞ্জ","jafargonjup.comilla.gov.bd","1","Debidwar","দেবিদ্বার","debidwar.comilla.gov.bd","1","Cumilla","কুমিল্লা","23.4682747","91.1788135","www.comilla.gov.bd","1","Chattagram","চট্টগ্রাম","www.chittagongdiv.gov.bd"
